2.11	1.59						
4.48	1.79						
2.79	1.36						
3.7	1.82						
5.49	2.74						
3	1.34						
1.43	1.11						
2.03	1.23						
2.58	1.34						
3.26	1.85						
2.3	1.45						
2.11	1.59						
-0.09	0.7						
0.32	0.95						
0.93	1.15						
1.63	1.11						
1.95	1.34						
-0.07	0.44						
5.25	1.31						
6.07	2.71						
3.87	2.33						
3.32	1.87						
4.01	2.31						
1.61	1.2						
0.51	0.79						
3.5	1.9						
-0.02	0.78						
-0.27	0.69						
-0.34	0.66						
-0.58	0.62						
-0.74	0.55						
-0.89	0.51						
-0.9	0.5												
